id,recommended_place,state,budget_preference,original_budget_preference,budget_changed,budget_confidence,budget_audit_reason,activity_interest,trip_duration,group_type,transportation_preference,accommodation_preference,destination_type,category,record_type,rating_imputed,price_myr_imputed,price_range_imputed,place_name,city,rating,rating_was_imputed,price_myr,price_range,duration,latitude,longitude,booking_link,source,original_recommended_place,original_place_name,original_category,original_destination_type,original_activity_interest,original_price_range,original_price_range_imputed,include_for_generator,price_basis_clean,data_quality_flags,display_name,is_famous,has_real_website
11,Mount Kinabalu Botanical Garden,Sabah,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Mount Kinabalu Botanical Garden,Kota Kinabalu,4.3,False,0.0,Free,,6.009899,116.5420508,https://www.sabahparks.org.my/kinabalu-park,Google Places,Mount Kinabalu Botanical Garden,Mount Kinabalu Botanical Garden,Nature & Outdoors,Eco & Wildlife,Nature,Free,Free,True,source_price,category_reclassified_by_keyword,Mount Kinabalu Botanical Garden,True,True
12,Church Of The Assumption,Penang,Budget,Budget,False,medium,known_free_or_public_place,Culture,1 Day,Group of Friends,Tour Bus,Hostel,Heritage & Culture,Religious & Cultural,attraction,4.6,0.0,Free,Church Of The Assumption,George Town,4.6,False,0.0,Free,,5.420503999999999,100.3376149,https://pgdiocese.org/parish/city-parish/,Google Places,Church Of The Assumption,Church Of The Assumption,Religious & Cultural,Heritage & Culture,Culture,Free,Free,True,source_price,,Church Of The Assumption,True,True
13,P. Ramlee Memorial House,Kuala Lumpur,Budget,Budget,False,medium,known_free_or_public_place,Culture,1 Day,Group of Friends,Car/Self-Drive,Budget Hotel,Heritage & Culture,Heritage & Museum,attraction,4.6,0.0,Free,P. Ramlee Memorial House,Kuala Lumpur,4.6,False,0.0,Free,,3.1948049000000003,101.708107,https://www.arkib.gov.my/ms/perkhidmatan/arkib-memorial/info-galeri/pustaka-peringatan-p-ramlee,Google Places,P. Ramlee Memorial House,P. Ramlee Memorial House,Heritage & Museum,Heritage & Culture,Culture,Free,Free,True,source_price,,P. Ramlee Memorial House,True,True
14,The Beach Bar,Penang,Budget,Budget,False,medium,known_free_or_public_place,Food,Half Day,Family,Car/Self-Drive,Budget Hotel,Beach & Island,Nature & Outdoors,attraction,4.3,0.0,Free,The Beach Bar,George Town,4.3,False,0.0,Free,,5.4224469,100.3349131,https://www.google.com/maps/search/The+Beach+Bar+Penang,Google Places,The Beach Bar,The Beach Bar,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,,The Beach Bar,True,False
15,"Tengah Beach, Langkawi, Kedah",Kedah,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Flight,Budget Hotel,Beach & Island,Nature & Outdoors,attraction,4.1,0.0,Free,"Tengah Beach, Langkawi, Kedah",Langkawi,4.1,False,0.0,Free,,6.284926899999999,99.7285418,http://trippi.org/,Google Places,"Tengah Beach, Langkawi, Kedah","Tengah Beach, Langkawi, Kedah",Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,,"Tengah Beach, Langkawi, Kedah",True,True
16,Taman Awam Lagun Kuala Ibai,Terengganu,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Taman Awam Lagun Kuala Ibai,Kuala Terengganu,4.4,False,0.0,Free,,5.2852139,103.1699926,https://www.caridestinasi.com/,Google Places,Taman Awam Lagun Kuala Ibai,Taman Awam Lagun Kuala Ibai,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,,Taman Awam Lagun Kuala Ibai,True,True
17,Melaka Straits Cultural Museum,Melaka,Budget,Budget,False,medium,known_free_or_public_place,Culture,Half Day,Group of Friends,Tour Bus,Homestay,Heritage & Culture,Heritage & Museum,attraction,4.4,0.0,Free,Melaka Straits Cultural Museum,Melaka,4.4,False,0.0,Free,,2.1958495,102.2483899,https://www.google.com/maps/search/Melaka+Straits+Cultural+Museum+Melaka,Google Places,Melaka Straits Cultural Museum,Melaka Straits Cultural Museum,Food & Dining,Heritage & Culture,Food,Free,Free,True,source_price,category_reclassified_by_keyword,Melaka Straits Cultural Museum,True,False
19,Sekayu Waterfall,Terengganu,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Sekayu Waterfall,Kuala Terengganu,4.3,False,0.0,Free,,4.9636947,102.9495472,http://waterfallsofmalaysia.com/35sekayu.php,Google Places,Sekayu Waterfall,Sekayu Waterfall,Sightseeing & Tours,Highland & Nature,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword,Sekayu Waterfall,True,True
20,Hutan Lipur Sekayu,Terengganu,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Car/Self-Drive,Budget Hotel,Beach & Island,Nature & Outdoors,attraction,4.2,0.0,Free,Hutan Lipur Sekayu,Kuala Terengganu,4.2,False,0.0,Free,,4.983147499999999,102.9294442,https://www.forestry.gov.my/index.php/my/terengganu/hutan-lipur-sekayu,Google Places,Hutan Lipur Sekayu,Hutan Lipur Sekayu,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,,Hutan Lipur Sekayu,True,True
21,The Early Mercers - Augmented Reality Street Art,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Solo,Car/Self-Drive,Homestay,City & Urban,Sightseeing & Tours,attraction,4.7,0.0,Free,The Early Mercers - Augmented Reality Street Art,Kuching,4.7,False,0.0,Free,,1.5592747,110.3443244,https://dayakdaily.com/the-early-mercers-mural-is-the-largest-augmented-reality-mural-in-malaysia/,Google Places,The Early Mercers - Augmented Reality Street Art,The Early Mercers - Augmented Reality Street Art,Sightseeing & Tours,City & Urban,Sightseeing,Free,Free,True,source_price,,The Early Mercers - Augmented Reality Street Art,True,True
22,Melaka River Cruise Jeti Hard Rock,Melaka,Moderate,Budget,True,medium,free_source_but_paid_attraction_or_facility_keyword,Sightseeing,2-3 Days,Couple,Boat,Homestay,City & Urban,Sightseeing & Tours,attraction,5.0,0.0,Free,Melaka River Cruise Jeti Hard Rock,Melaka,5.0,False,0.0,Free,,2.1949648,102.248934,http://melakarivercruise.my/,Google Places,Melaka River Cruise Jeti Hard Rock,Melaka River Cruise Jeti Hard Rock,Sightseeing & Tours,Heritage & Culture,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword,Melaka River Cruise Jeti Hard Rock,True,True
23,Ang Ku Kueh Making - Mural Padungan,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Group of Friends,Tour Bus,Hostel,Beach & Island,Sightseeing & Tours,attraction,5.0,0.0,Free,Ang Ku Kueh Making - Mural Padungan,Kuching,5.0,False,0.0,Free,,1.5553413000000005,110.3561465,https://dayakdaily.com/80yo-classic-ang-ku-kueh-maker-painted-into-20-feet-high-mural-on-jalan-padungan/,Google Places,Ang Ku Kueh Making - Mural Padungan,Ang Ku Kueh Making - Mural Padungan,Sightseeing & Tours,Beach & Island,Sightseeing,Free,Free,True,source_price,,Ang Ku Kueh Making - Mural Padungan,True,True
24,Sun Yat-Sen Memorial Centre,Penang,Budget,Budget,False,medium,known_free_or_public_place,Culture,Half Day,Family,Car/Self-Drive,Hostel,Heritage & Culture,Heritage & Museum,attraction,4.5,0.0,Free,Sun Yat-Sen Memorial Centre,George Town,4.5,False,0.0,Free,,5.4156129,100.3242694,https://www.google.com/maps/search/Sun+Yat-Sen+Memorial+Centre+Penang,Google Places,Sun Yat-Sen Memorial Centre,Sun Yat-Sen Memorial Centre,Heritage & Museum,Heritage & Culture,Culture,Free,Free,True,source_price,,Sun Yat-Sen Memorial Centre,True,False
25,Penang Hill Heritage Trail,Penang,Budget,Budget,False,medium,known_free_or_public_place,Culture,1 Day,Family,Car/Self-Drive,Hostel,Heritage & Culture,Heritage & Museum,attraction,4.4,0.0,Free,Penang Hill Heritage Trail,George Town,4.4,False,0.0,Free,,5.4105491,100.2761003,http://penanghill.gov.my/hikingtrails/,Google Places,Penang Hill Heritage Trail,Penang Hill Heritage Trail,Sightseeing & Tours,Highland & Nature,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword,Penang Hill Heritage Trail,True,True
26,Sunrise @ Mossy Forest,Pahang,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Car/Self-Drive,Budget Hotel,Eco & Wildlife,Nature & Outdoors,attraction,4.8,0.0,Free,Sunrise @ Mossy Forest,Cameron Highlands,4.8,False,0.0,Free,,4.517865,101.4066863,http://www.cameronsbest.com/,Google Places,Sunrise @ Mossy Forest Tour,Sunrise @ Mossy Forest Tour,Sightseeing & Tours,Highland & Nature,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword;name_normalized;product_text_removed,Sunrise @ Mossy Forest,True,True
27,Taman Tugu,Kuala Lumpur,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.7,0.0,Free,Taman Tugu,Kuala Lumpur,4.7,False,0.0,Free,,3.1513978,101.6845789,https://tamantugu.my/,Google Places,Taman Tugu,Taman Tugu,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,,Taman Tugu,True,True
29,Yan Beach Cafe,Terengganu,Budget,Budget,False,medium,known_free_or_public_place,Food,Half Day,Couple,Public Transport,Hostel,Food & Culinary,Food & Dining,attraction,4.5,0.0,Free,Yan Beach Cafe,Kuala Terengganu,4.5,False,0.0,Free,,5.2556961,103.1822678,https://www.google.com/maps/search/Yan+Beach+Cafe+Terengganu,Google Places,Yan Beach Cafe,Yan Beach Cafe,Food & Dining,Beach & Island,Food,Free,Free,True,source_price,category_reclassified_by_keyword,Yan Beach Cafe,True,False
30,Petaling Street Chinatown,Penang,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Couple,Taxi/Grab,Budget Hotel,City & Urban,Sightseeing & Tours,attraction,4.2,0.0,Free,Petaling Street Chinatown,George Town,4.2,False,0.0,Free,,5.4178064,100.3342249,https://www.chinatownology.com/chinatown_penang.html,Google Places,Chinatown Penang,Chinatown Penang,Sightseeing & Tours,City & Urban,Sightseeing,Free,Free,True,source_price,canonical_place_extracted,Petaling Street Chinatown,True,True
31,Ur-Mu @ Bukit Bintang,Kuala Lumpur,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Public Transport,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.8,0.0,Free,Ur-Mu @ Bukit Bintang,"Kuala Lumpur, Malaysia",4.8,False,0.0,Free,,3.1475417,101.7094821,https://ur-mu.com/,Google Places,Ur-Mu @ Bukit Bintang,Ur-Mu @ Bukit Bintang,Heritage & Museum,Highland & Nature,Culture,Free,Free,True,source_price,category_reclassified_by_keyword,Ur-Mu @ Bukit Bintang,True,True
32,Central Park Bandar Utama,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Central Park Bandar Utama,Kuala Lumpur,4.1,False,0.0,Free,,3.1494069,101.6142757,http://www.1utama.com.my/,Google Places,Central Park Bandar Utama,Central Park Bandar Utama,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,,Central Park Bandar Utama,True,True
33,Bukit Dumbar Park,Penang,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Bukit Dumbar Park,George Town,4.4,False,0.0,Free,,5.3827403,100.312393,https://www.google.com/maps/search/Bukit+Dumbar+Park+Penang,Google Places,Bukit Dumbar Park,Bukit Dumbar Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,,Bukit Dumbar Park,True,False
34,Gunung Gading National Park,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Group of Friends,Flight,Budget Hotel,Eco & Wildlife,Nature & Outdoors,attraction,4.4,0.0,Free,Gunung Gading National Park,Kuching,4.4,False,0.0,Free,,1.6905556,109.8458333,https://www.google.com/maps/search/Gunung+Gading+National+Park+Sarawak,Google Places,Gunung Gading National Park,Gunung Gading National Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,category_reclassified_by_keyword,Gunung Gading National Park,True,False
35,Kampung Taman Sedia,Pahang,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Group of Friends,Tour Bus,Homestay,Heritage & Culture,Sightseeing & Tours,attraction,4.2,0.0,Free,Kampung Taman Sedia,Cameron Highlands,4.2,False,0.0,Free,,4.478059399999999,101.3807728,https://www.google.com/maps/search/Kampung+Taman+Sedia+Pahang,Google Places,Kampung Taman Sedia,Kampung Taman Sedia,Sightseeing & Tours,Heritage & Culture,Sightseeing,Free,Free,True,source_price,,Kampung Taman Sedia,True,False
36,Deer Park,Kuala Lumpur,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Couple,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,3.4,0.0,Free,Deer Park,Kuala Lumpur,3.4,False,0.0,Free,,3.1431685,101.6855284,https://www.google.com/maps/search/Deer+Park+Kuala+Lumpur,Google Places,Deer Park,Deer Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,,Deer Park,True,False
37,Ipoh Iconic Field,Perak,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,2-3 Days,Family,Car/Self-Drive,Homestay,Heritage & Culture,Sightseeing & Tours,attraction,4.0,0.0,Free,Ipoh Iconic Field,Ipoh,4.0,False,0.0,Free,,4.599289499999999,101.0758256,https://www.google.com/maps/search/Ipoh+Iconic+Field+Perak,Google Places,Ipoh Iconic Field,Ipoh Iconic Field,Sightseeing & Tours,Heritage & Culture,Sightseeing,Free,Free,True,source_price,,Ipoh Iconic Field,True,False
38,Cenanghill Beachfront,Kedah,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,2-3 Days,Couple,Public Transport,Budget Hotel,Beach & Island,Sightseeing & Tours,attraction,4.5,0.0,Free,Cenanghill Beachfront,Langkawi,4.5,False,0.0,Free,,6.275667899999999,99.7309792,https://cenanghillbeachfront.com/,Google Places,Cenanghill Beachfront,Cenanghill Beachfront,Sightseeing & Tours,Beach & Island,Sightseeing,Free,Free,True,source_price,,Cenanghill Beachfront,True,True
39,Gui Gui Korean Barbecue,Kuala Lumpur,Budget,Budget,False,medium,known_free_or_public_place,Food,Half Day,Solo,Tour Bus,Budget Hotel,Food & Culinary,Food & Dining,attraction,4.4,0.0,Free,Gui Gui Korean Barbecue,Kuala Lumpur,4.4,False,0.0,Free,,3.1415921,101.697902,https://www.google.com/maps/search/Gui+Gui+Korean+Barbecue+Kuala+Lumpur,Google Places,Gui Gui Korean Barbecue,Gui Gui Korean Barbecue,Food & Dining,Food & Culinary,Food,Free,Free,True,source_price,,Gui Gui Korean Barbecue,True,False
40,Nam Thean Tong Temple,Perak,Budget,Budget,False,medium,known_free_or_public_place,Culture,1 Day,Group of Friends,Tour Bus,Budget Hotel,Heritage & Culture,Religious & Cultural,attraction,4.3,0.0,Free,Nam Thean Tong Temple,Ipoh,4.3,False,0.0,Free,,4.5654913,101.1148073,https://www.google.com/maps/search/Nam+Thean+Tong+Temple+Perak,Google Places,Nam Thean Tong Temple,Nam Thean Tong Temple,Sightseeing & Tours,Heritage & Culture,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword,Nam Thean Tong Temple,True,False
41,"Tasik Cermin 1, Ipoh",Perak,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Solo,Car/Self-Drive,Budget Hotel,City & Urban,Sightseeing & Tours,attraction,3.9,0.0,Free,"Tasik Cermin 1, Ipoh",Ipoh,3.9,False,0.0,Free,,4.5599593,101.1186898,https://tasikcermin.com/,Google Places,"Tasik Cermin 1, Ipoh","Tasik Cermin 1, Ipoh",Sightseeing & Tours,City & Urban,Sightseeing,Free,Free,True,source_price,,"Tasik Cermin 1, Ipoh",True,True
42,Taman Eko Rimba Parit Falls,Pahang,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Car/Self-Drive,Budget Hotel,Beach & Island,Nature & Outdoors,attraction,3.2,0.0,Free,Taman Eko Rimba Parit Falls,Cameron Highlands,3.2,False,0.0,Free,,4.4742295,101.3836793,https://www.forestry.gov.my/index.php/my/pahang/taman-eko-rimba-parit-falls,Google Places,Taman Eko Rimba Parit Falls,Taman Eko Rimba Parit Falls,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,,Taman Eko Rimba Parit Falls,True,True
43,Tunku Abdul Rahman Marine Park,Sabah,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Flight,Hostel,Beach & Island,Nature & Outdoors,attraction,4.3,0.0,Free,Tunku Abdul Rahman Marine Park,Kota Kinabalu,4.3,False,0.0,Free,,5.975044899999999,115.9997596,https://www.sabahparks.org.my/tunku-abdul-rahman-park,Google Places,Tunku Abdul Rahman Marine Park,Tunku Abdul Rahman Marine Park,Nature & Outdoors,Eco & Wildlife,Nature,Free,Free,True,source_price,category_reclassified_by_keyword,Tunku Abdul Rahman Marine Park,True,True
44,Ipoh Mural,Perak,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Family,Public Transport,Budget Hotel,City & Urban,Sightseeing & Tours,attraction,4.3,0.0,Free,Ipoh Mural,Ipoh,4.3,False,0.0,Free,,4.595293700000001,101.0785396,http://www.ipoh-city.com/attraction/art_of_oldtown/,Google Places,Ipoh Mural,Ipoh Mural,Sightseeing & Tours,City & Urban,Sightseeing,Free,Free,True,source_price,,Ipoh Mural,True,True
45,Pantai Puteri,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Couple,Tour Bus,Hostel,Beach & Island,Sightseeing & Tours,attraction,4.3,0.0,Free,Pantai Puteri,Kuching,4.3,False,0.0,Free,,1.7259707,110.3160411,https://www.google.com/maps/search/Pantai+Puteri+Sarawak,Google Places,Pantai Puteri,Pantai Puteri,Sightseeing & Tours,Beach & Island,Sightseeing,Free,Free,True,source_price,,Pantai Puteri,True,False
46,Tua Pek Kong Temple,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Culture,Half Day,Couple,Car/Self-Drive,Hostel,Heritage & Culture,Religious & Cultural,attraction,4.5,0.0,Free,Tua Pek Kong Temple,Kuching,4.5,False,0.0,Free,,1.5571949,110.3489838,https://www.google.com/maps/search/Tua+Pek+Kong+Temple+Sarawak,Google Places,Tua Pek Kong Temple,Tua Pek Kong Temple,Religious & Cultural,Heritage & Culture,Culture,Free,Free,True,source_price,,Tua Pek Kong Temple,True,False
47,Khing Cafe (Beach Street),Penang,Budget,Budget,False,medium,known_free_or_public_place,Food,Half Day,Family,Car/Self-Drive,Budget Hotel,Food & Culinary,Food & Dining,attraction,4.7,0.0,Free,Khing Cafe (Beach Street),George Town,4.7,False,0.0,Free,,5.414380599999999,100.3380959,https://www.google.com/maps/search/Khing+Cafe+(Beach+Street)+Penang,Google Places,Khing Cafe (Beach Street),Khing Cafe (Beach Street,Food & Dining,Beach & Island,Food,Free,Free,True,source_price,category_reclassified_by_keyword,Khing Cafe (Beach Street),True,False
48,Padang Awam Mdch,Pahang,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Solo,Car/Self-Drive,Hostel,Beach & Island,Nature & Outdoors,attraction,4.0,0.0,Free,Padang Awam Mdch,Cameron Highlands,4.0,False,0.0,Free,,4.4700242,101.3817669,https://www.google.com/maps/search/Padang+Awam+Mdch+Pahang,Google Places,Padang Awam Mdch,Padang Awam Mdch,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,,Padang Awam Mdch,True,False
49,O&R Garden,Pahang,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Public Transport,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,O&R Garden,Cameron Highlands,4.2,False,0.0,Free,,4.5077044,101.4089628,https://www.google.com/maps/search/O&R+Garden+Pahang,Google Places,O&R Garden,O&R Garden,Sightseeing & Tours,Highland & Nature,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword,O&R Garden,True,False
51,Children #Tanahairku Street Art,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,2-3 Days,Family,Tour Bus,Budget Hotel,City & Urban,Sightseeing & Tours,attraction,4.7,0.0,Free,Children #Tanahairku Street Art,Kuching,4.7,False,0.0,Free,,1.5571555,110.3478552,https://www.kuchingsarawak.com/2020/07/20/street-art-of-kuching/,Google Places,Children #Tanahairku Street Art,Children #Tanahairku Street Art,Sightseeing & Tours,City & Urban,Sightseeing,Free,Free,True,source_price,,Children #Tanahairku Street Art,True,True
52,"St. George'S Anglican Church, Penang, Malaysia",Penang,Budget,Budget,False,medium,known_free_or_public_place,Culture,Half Day,Solo,Taxi/Grab,Hostel,Heritage & Culture,Religious & Cultural,attraction,4.3,0.0,Free,"St. George'S Anglican Church, Penang, Malaysia",George Town,4.3,False,0.0,Free,,5.4197654,100.3391433,https://www.google.com/maps/search/St.+George'S+Anglican+Church+Penang+Malaysia+Penang,Google Places,"St. George'S Anglican Church, Penang, Malaysia","St. George'S Anglican Church, Penang, Malaysia",Religious & Cultural,Heritage & Culture,Culture,Free,Free,True,source_price,,"St. George'S Anglican Church, Penang, Malaysia",True,False
